Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks
125,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,35.3,1830,1546,277,21,1,7,80,251,5,2,3,0,1486,7,39
126,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,9.4,432,409,21,5,10,3,29,7,7,4,3,0,300,2,19
127,Danilo,br BRA,MF,Nott'ham Forest,22,2001,19.9,758,717,35,7,4,9,26,1,19,19,0,0,589,6,15
128,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,6.6,152,147,5,0,1,1,10,2,1,1,0,0,102,0,8
129,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0.1,7,7,0,0,1,0,0,0,0,0,0,0,5,0,0
130,Josh Dasilva,eng ENG,"DF,FW",Brentford,24,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1
131,David Datro Fofana,ci CIV,FW,Burnley,20,2002,9.8,173,167,4,0,1,0,3,0,0,0,0,0,117,2,8
132,Ben Davies,wls WAL,DF,Tottenham,30,1993,12.1,850,788,61,34,3,3,10,27,0,0,0,0,766,1,10
133,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,2.5,99,92,5,2,1,0,4,1,0,0,0,0,68,2,5
134,Craig Dawson,eng ENG,DF,Wolves,33,1990,24.5,1277,1236,38,29,2,22,1,1,0,0,0,0,1104,3,9
135,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,13.6,971,840,124,23,11,6,136,24,69,29,16,5,732,7,27
136,Hannes Delcroix,be BEL,DF,Burnley,24,1999,6.5,350,320,29,3,0,0,5,26,0,0,0,0,300,1,2
137,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,1.3,56,56,0,0,0,1,0,0,0,0,0,0,45,0,0
138,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,24.2,619,567,51,3,6,2,45,4,1,0,0,0,485,1,15
139,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,21,2002,4.3,170,166,4,1,0,1,1,2,1,1,0,0,149,0,3
