Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
80,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,9,4,4,3,2,7,21,33.3,14,16,2,14,7,16,23,0
81,Hugo Bueno,es ESP,"DF,MF",Wolves,20,2002,8.2,21,14,12,7,2,12,19,63.2,7,17,4,13,6,27,24,0
82,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,13,7,5,7,1,5,11,45.5,6,22,12,10,6,19,33,0
83,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,42,22,13,22,7,14,44,31.8,30,22,3,19,8,50,5,0
84,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,37,23,17,14,6,12,26,46.2,14,25,18,7,18,55,78,1
85,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,30.3,61,33,37,20,4,26,61,42.6,35,55,25,30,37,98,124,1
86,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,91,46,38,42,11,36,60,60.0,24,59,25,34,37,128,44,4
88,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,24,16,10,12,2,13,25,52.0,12,16,4,12,13,37,6,0
89,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,13,6,2,6,5,2,15,13.3,13,14,4,10,4,17,38,0
90,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
91,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,27,16,22,4,1,13,21,61.9,8,24,19,5,13,40,78,3
92,Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,5,3,2,1,2,2,5,40.0,3,1,0,1,0,5,4,0
93,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22.0,83,56,43,32,8,51,106,48.1,55,74,33,41,18,101,71,1
94,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
95,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,54,31,24,24,6,29,59,49.2,30,35,14,21,18,72,59,0
96,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,49,24,23,16,10,26,44,59.1,18,38,10,28,38,87,69,1
97,Jonny Castro,es ESP,MF,Wolves,29,1994,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
98,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,16,12,10,2,4,10,15,66.7,5,8,7,1,8,24,51,0
99,Calum Chambers,eng ENG,"MF,DF",Aston Villa,28,1995,1.7,3,0,3,0,0,0,1,0.0,1,2,1,1,2,5,4,0
100,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,3,2,2,1,0,1,5,20.0,4,4,1,3,1,4,2,0
101,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,8.4,15,10,5,9,1,5,8,62.5,3,11,3,8,4,19,19,1
102,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,1.6,7,3,3,3,1,2,3,66.7,1,0,0,0,1,8,0,0
