Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
96,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,1350,1662,81.2,21238,7361,705,794,88.8,514,595,86.4,91,162,56.2,3,1.9,1.8,+1.1,18,74,17,8,77
97,Jonny Castro,es ESP,MF,Wolves,29,1994,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
98,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,700,783,89.4,12088,3518,278,302,92.1,377,397,95.0,35,70,50.0,0,0.1,0.4,-0.1,2,30,2,0,31
99,Calum Chambers,eng ENG,"MF,DF",Aston Villa,28,1995,1.7,100,113,88.5,1705,512,47,50,94.0,45,47,95.7,6,10,60.0,1,0.1,0.0,+0.9,1,2,0,0,5
100,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,35,58,60.3,486,108,19,32,59.4,12,19,63.2,1,1,100.0,0,0.8,0.3,-0.8,4,1,4,0,5
101,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,8.4,373,495,75.4,5230,1552,230,259,88.8,112,143,78.3,18,48,37.5,1,2.2,1.8,-1.2,14,29,2,2,25
102,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,1.6,46,58,79.3,664,151,29,31,93.5,14,18,77.8,2,3,66.7,0,0.0,0.1,0.0,1,3,3,2,7
103,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,19,22,86.4,244,59,12,13,92.3,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2
104,Tahith Chong,nl NED,"MF,FW",Luton Town,23,1999,22.0,428,550,77.8,6679,1643,227,257,88.3,149,189,78.8,32,54,59.3,0,0.5,1.4,-0.5,10,35,20,8,72
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,988,1300,76.0,18802,5120,399,467,85.4,425,510,83.3,143,253,56.5,5,5.4,5.4,-0.4,55,118,42,7,167
