Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
276,Michael Keane,eng ENG,DF,Everton,30,1993,4.9,171,221,77.4,3519,1261,47,60,78.3,98,113,86.7,23,42,54.8,0,0.0,0.1,0.0,0,15,0,0,14
277,Thilo Kehrer,de GER,"DF,MF",West Ham,26,1996,0.2,9,9,100.0,86,36,7,7,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
278,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,359,442,81.2,8077,5323,101,101,100.0,196,198,99.0,62,140,44.3,0,0.0,0.0,0.0,1,9,0,0,1
279,Lloyd Kelly,eng ENG,DF,Bournemouth,24,1998,17.3,673,906,74.3,13526,4407,234,277,84.5,341,400,85.3,90,191,47.1,1,1.2,0.8,-0.2,9,76,7,4,56
280,Omari Kellyman,eng ENG,FW,Aston Villa,17,2005,0.4,6,7,85.7,78,11,4,5,80.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0
281,Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,21.9,613,844,72.6,9811,3390,322,375,85.9,237,333,71.2,43,94,45.7,1,0.8,1.0,+0.2,12,34,14,9,44
282,Kaine Kesler-Hayden,eng ENG,"MF,DF",Aston Villa,20,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
283,Max Kilman,eng ENG,DF,Wolves,26,1997,38.0,1979,2309,85.7,36846,13119,766,824,93.0,1008,1087,92.7,183,346,52.9,0,1.4,1.1,-1.4,17,109,11,1,117
284,Jakub Kiwior,pl POL,DF,Arsenal,23,2000,10.5,523,625,83.7,8555,3042,270,303,89.1,214,249,85.9,34,58,58.6,3,0.9,0.6,+2.1,6,43,8,3,55
285,Justin Kluivert,nl NED,"MF,FW",Bournemouth,24,1999,21.3,288,421,68.4,4393,1193,147,194,75.8,104,137,75.9,18,32,56.3,1,1.9,1.6,-0.9,21,10,24,2,50
286,Luca Koleosho,it ITA,"MF,FW",Burnley,18,2004,10.8,192,274,70.1,2509,475,126,153,82.4,56,79,70.9,2,9,22.2,1,1.3,1.1,-0.3,11,9,6,2,19
287,Ibrahima Konaté,fr FRA,DF,Liverpool,24,1999,17.5,1286,1463,87.9,22733,9043,514,566,90.8,673,718,93.7,81,140,57.9,0,0.4,0.5,-0.4,8,145,8,0,118
288,Ezri Konsa,eng ENG,DF,Aston Villa,25,1997,34.1,1907,2094,91.1,31947,10672,827,878,94.2,959,1029,93.2,95,129,73.6,0,0.5,1.0,-0.5,8,132,14,2,136
289,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33,1989,2.4,47,74,63.5,604,159,32,43,74.4,11,19,57.9,1,2,50.0,0,0.0,0.0,0.0,1,3,0,0,5
290,Mateo Kovačić,hr CRO,MF,Manchester City,29,1994,17.2,1435,1527,94.0,20506,4603,835,862,96.9,514,544,94.5,41,57,71.9,0,1.6,1.9,-1.6,21,120,15,0,100
291,Emil Krafth,se SWE,DF,Newcastle Utd,28,1994,10.1,488,580,84.1,7498,2971,246,275,89.5,216,236,91.5,15,39,38.5,0,1.0,0.8,-1.0,9,26,13,7,29
292,Mohammed Kudus,gh GHA,"FW,MF",West Ham,22,2000,27.6,677,875,77.4,11263,1764,357,405,88.1,231,281,82.2,70,108,64.8,6,3.5,3.7,+2.5,28,32,29,16,80
293,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,2000,30.7,953,1234,77.2,13509,3584,610,700,87.1,279,363,76.9,39,72,54.2,3,7.7,6.7,-4.7,66,55,73,19,144
294,Adam Lallana,eng ENG,"MF,FW",Brighton,35,1988,9.4,451,509,88.6,4936,1088,326,352,92.6,78,90,86.7,7,8,87.5,1,1.7,2.0,-0.7,15,21,16,1,39
295,Tariq Lamptey,gh GHA,"DF,FW",Brighton,22,2000,10.2,379,454,83.5,5485,916,217,242,89.7,135,163,82.8,13,22,59.1,3,1.2,0.8,+1.8,10,6,12,6,17
296,Aymeric Laporte,es ESP,DF,Manchester City,29,1994,0.1,11,11,100.0,202,48,4,4,100.0,7,7,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
297,Yasser Larouci,dz ALG,DF,Sheffield Utd,22,2001,5.9,131,185,70.8,1969,714,76,89,85.4,45,59,76.3,6,17,35.3,0,0.3,0.1,-0.3,2,11,0,0,14
298,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29,1993,12.0,669,774,86.4,11616,3694,252,275,91.6,383,421,91.0,29,61,47.5,0,0.1,0.1,-0.1,2,38,1,0,31
299,Roméo Lavia,be BEL,MF,Chelsea,19,2004,0.4,22,27,81.5,350,51,9,10,90.0,13,14,92.9,0,1,0.0,0,0.0,0.0,0.0,0,4,0,0,1
300,Mario Lemina,ga GAB,MF,Wolves,29,1993,33.0,1261,1470,85.8,20364,5341,654,718,91.1,485,550,88.2,92,146,63.0,1,1.5,1.3,-0.5,20,65,8,3,76
301,Clément Lenglet,fr FRA,DF,Aston Villa,28,1995,12.8,822,918,89.5,15524,5173,302,319,94.7,431,457,94.3,82,127,64.6,1,0.8,0.5,+0.2,2,34,3,0,51
302,Bernd Leno,de GER,GK,Fulham,31,1992,38.0,1250,1577,79.3,29886,18166,266,268,99.3,746,750,99.5,235,551,42.6,0,0.0,0.0,0.0,0,23,0,0,0
303,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,28,1994,26.7,1018,1250,81.4,15825,5095,554,625,88.6,371,448,82.8,65,114,57.0,1,2.2,2.0,-1.2,24,109,20,3,106
304,Rico Lewis,eng ENG,"DF,MF",Manchester City,18,2004,9.0,518,568,91.2,7100,1127,339,351,96.6,159,170,93.5,12,20,60.0,0,1.1,1.2,-1.1,13,29,9,0,33
305,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,22,2001,16.0,289,415,69.6,4218,969,169,206,82.0,89,119,74.8,19,56,33.9,1,1.7,2.0,-0.7,13,11,14,4,32
306,Victor Lindelöf,se SWE,DF,Manchester Utd,29,1994,14.8,826,927,89.1,13195,3696,398,435,91.5,355,385,92.2,48,70,68.6,1,0.3,0.4,+0.7,8,62,3,0,40
307,Valentino Livramento,eng ENG,DF,Newcastle Utd,20,2002,14.6,689,802,85.9,10004,2947,421,457,92.1,223,257,86.8,27,53,50.9,0,0.8,0.8,-0.8,12,58,16,3,61
308,Giovani Lo Celso,ar ARG,MF,Tottenham,27,1996,5.6,449,503,89.3,6799,2073,244,260,93.8,153,165,92.7,33,45,73.3,2,1.9,1.9,+0.1,18,44,14,3,68
309,Tom Lockyer,wls WAL,DF,Luton Town,28,1994,13.0,301,422,71.3,6628,3120,81,104,77.9,158,189,83.6,57,113,50.4,1,0.6,0.3,+0.4,3,37,4,0,37
310,Sean Longstaff,eng ENG,MF,Newcastle Utd,25,1997,30.5,991,1241,79.9,15314,4980,551,636,86.6,351,430,81.6,62,99,62.6,2,2.3,3.0,-0.3,20,82,26,4,145
311,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,26,1997,5.6,84,130,64.6,1242,436,53,71,74.6,25,42,59.5,6,12,50.0,0,0.7,0.1,-0.7,2,6,3,0,12
312,Douglas Luiz,br BRA,MF,Aston Villa,25,1998,33.3,1800,2101,85.7,31199,7807,812,871,93.2,775,870,89.1,167,276,60.5,5,5.4,5.3,-0.4,53,137,39,8,168
313,Saša Lukić,rs SRB,MF,Fulham,26,1996,12.5,428,496,86.3,6753,1796,204,229,89.1,193,210,91.9,20,29,69.0,0,0.8,0.5,-0.8,11,31,5,0,43
314,Ian Maatsen,nl NED,"FW,MF",Chelsea,21,2002,2.3,97,138,70.3,1316,400,60,73,82.2,26,46,56.5,4,8,50.0,0,0.1,0.2,-0.1,2,6,2,1,8
315,Alexis Mac Allister,ar ARG,MF,Liverpool,24,1998,28.9,1704,1967,86.6,26565,7659,884,970,91.1,656,722,90.9,100,161,62.1,5,3.6,4.9,+1.4,47,162,41,2,209
316,James Maddison,eng ENG,MF,Tottenham,26,1996,23.7,1210,1500,80.7,19513,6251,631,684,92.3,457,557,82.0,94,180,52.2,9,5.9,6.3,+3.1,67,130,59,3,224
317,Noni Madueke,eng ENG,FW,Chelsea,21,2002,11.7,412,486,84.8,5511,1281,268,294,91.2,115,136,84.6,13,20,65.0,2,2.6,2.0,-0.6,20,23,13,2,52
318,Gabriel Magalhães,br BRA,DF,Arsenal,25,1997,33.8,1914,2157,88.7,32123,10388,841,885,95.0,942,1013,93.0,108,199,54.3,0,0.7,0.7,-0.7,3,143,9,1,117
319,Harry Maguire,eng ENG,DF,Manchester Utd,30,1993,18.4,917,1103,83.1,16999,6419,382,423,90.3,412,472,87.3,102,176,58.0,2,1.2,0.9,+0.8,6,78,6,0,73
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18,2005,21.4,748,868,86.2,10519,2654,439,486,90.3,237,266,89.1,31,51,60.8,1,0.7,1.6,+0.3,15,47,9,1,64
321,Orel Mangala,be BEL,MF,Nott'ham Forest,25,1998,17.4,570,646,88.2,9021,2312,292,321,91.0,225,247,91.1,37,47,78.7,0,0.2,0.3,-0.2,6,39,1,0,45
322,Benson Manuel,ao ANG,"MF,FW",Burnley,26,1997,1.3,48,59,81.4,693,153,27,27,100.0,16,22,72.7,3,4,75.0,0,0.0,0.2,0.0,1,2,3,2,2
323,Solly March,eng ENG,"FW,DF",Brighton,29,1994,6.2,203,261,77.8,3145,899,118,139,84.9,62,78,79.5,17,27,63.0,1,1.0,1.0,0.0,7,10,7,0,24
324,Anthony Martial,fr FRA,FW,Manchester Utd,27,1995,5.0,109,139,78.4,1267,263,70,80,87.5,25,33,75.8,1,2,50.0,0,0.2,0.2,-0.2,6,6,2,0,12
325,Gabriel Martinelli,br BRA,FW,Arsenal,22,2001,22.4,724,929,77.9,11003,2008,424,490,86.5,237,292,81.2,47,85,55.3,4,6.1,5.2,-2.1,46,22,33,7,65
326,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,33.5,1190,1436,82.9,28047,16368,248,250,99.2,715,722,99.0,223,452,49.3,0,0.0,0.0,0.0,2,21,0,0,2
327,Lisandro Martínez,ar ARG,DF,Manchester Utd,25,1998,7.2,411,446,92.2,6870,2103,186,192,96.9,192,202,95.0,26,41,63.4,1,0.1,0.1,+0.9,3,29,1,0,28
328,Han-Noah Massengo,fr FRA,"MF,DF",Burnley,22,2001,0.2,6,12,50.0,74,42,5,7,71.4,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
329,Pape Matar Sarr,sn SEN,MF,Tottenham,20,2002,23.0,1179,1349,87.4,17118,4177,662,718,92.2,402,453,88.7,52,77,67.5,3,2.2,2.1,+0.8,20,108,23,4,150
330,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,26,1997,25.4,309,433,71.4,4043,785,195,245,79.6,75,112,67.0,13,14,92.9,5,3.1,1.3,+1.9,32,11,14,4,25
331,Joël Matip,cm CMR,DF,Liverpool,31,1991,8.7,494,564,87.6,8687,3066,198,216,91.7,257,287,89.5,33,47,70.2,0,0.1,0.1,-0.1,2,27,2,0,34
332,Alex Matos,eng ENG,MF,Chelsea,18,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
333,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,0.0,0,5,0.0,0,0,0,0,,0,0,,0,5,0.0,0,0.0,0.0,0.0,0,0,0,0,0
334,Neal Maupay,fr FRA,FW,Brentford,26,1996,14.7,282,392,71.9,4002,913,172,208,82.7,66,97,68.0,23,32,71.9,3,2.3,2.2,+0.7,15,17,17,2,37
335,Neal Maupay,fr FRA,FW,Everton,26,1996,1.2,22,26,84.6,353,14,12,13,92.3,8,9,88.9,1,1,100.0,0,0.1,0.0,-0.1,1,0,0,0,0
336,Konstantinos Mavropanos,gr GRE,DF,West Ham,25,1997,16.7,482,635,75.9,9625,3911,155,179,86.6,266,303,87.8,53,131,40.5,0,0.2,0.1,-0.2,3,29,1,0,38
337,Bryan Mbeumo,cm CMR,FW,Brentford,23,1999,21.8,511,765,66.8,7853,2424,299,373,80.2,144,220,65.5,48,91,52.7,6,4.6,5.6,+1.4,32,32,36,4,88
338,James Mcatee,eng ENG,"MF,FW",Sheffield Utd,20,2002,20.2,362,530,68.3,5320,1456,209,263,79.5,113,168,67.3,25,56,44.6,3,2.9,2.1,+0.1,28,30,25,3,51
339,James Mcatee,eng ENG,MF,Manchester City,20,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
340,Oliver McBurnie,sct SCO,FW,Sheffield Utd,27,1996,14.2,242,408,59.3,2917,746,163,256,63.7,57,97,58.8,4,7,57.1,3,2.0,2.0,+1.0,12,27,5,1,30
341,James McConnell,eng ENG,MF,Liverpool,18,2004,0.0,5,6,83.3,93,29,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
342,John McGinn,sct SCO,"MF,FW",Aston Villa,28,1994,33.3,972,1223,79.5,17953,5844,434,489,88.8,396,462,85.7,130,217,59.9,4,4.6,4.9,-0.6,44,124,52,14,189
343,Scott McKenna,sct SCO,DF,Nott'ham Forest,26,1996,4.6,137,186,73.7,2769,1280,38,48,79.2,82,109,75.2,17,28,60.7,0,0.2,0.2,-0.2,3,10,3,0,10
344,Dwight McNeil,eng ENG,"MF,FW",Everton,23,1999,32.1,874,1266,69.0,14956,5035,465,534,87.1,263,371,70.9,116,252,46.0,6,8.8,8.2,-2.8,69,72,54,20,114
345,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,26,1996,21.1,528,655,80.6,7877,2012,307,356,86.2,174,206,84.5,30,41,73.2,1,0.8,0.5,+0.2,11,63,9,0,64
346,Ben Mee,eng ENG,DF,Brentford,33,1989,14.1,511,667,76.6,9030,3658,218,249,87.6,235,285,82.5,49,103,47.6,0,0.3,0.7,-0.3,6,45,4,2,49
347,Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,20,2003,1.5,31,38,81.6,442,143,21,21,100.0,7,9,77.8,3,6,50.0,0,0.4,0.5,-0.4,2,6,1,0,6
348,Teden Mengi,eng ENG,DF,Luton Town,21,2002,27.4,728,938,77.6,14286,5525,256,296,86.5,378,431,87.7,82,177,46.3,0,0.3,0.6,-0.3,6,62,5,0,54
349,Chris Mepham,wls WAL,DF,Bournemouth,25,1997,6.9,296,359,82.5,5965,1994,96,115,83.5,163,184,88.6,35,55,63.6,1,0.4,0.5,+0.6,3,34,4,0,25
350,Lewis Miley,eng ENG,MF,Newcastle Utd,17,2006,13.4,441,535,82.4,6580,1615,255,296,86.1,143,165,86.7,24,40,60.0,3,1.7,1.4,+1.3,12,26,12,2,53
351,James Milner,eng ENG,"DF,MF",Brighton,37,1986,8.6,492,585,84.1,7622,2496,269,297,90.6,181,210,86.2,27,46,58.7,2,1.8,1.7,+0.2,16,46,17,6,69
352,Tyrone Mings,eng ENG,DF,Aston Villa,30,1993,0.3,5,5,100.0,119,86,0,0,,2,2,100.0,2,2,100.0,0,0.0,0.2,0.0,1,1,0,0,0
353,Tyrick Mitchell,eng ENG,"DF,MF",Crystal Palace,23,1999,35.6,1177,1627,72.3,18588,7927,605,718,84.3,486,654,74.3,63,142,44.4,3,2.8,2.4,+0.2,24,74,29,12,94
354,Kaoru Mitoma,jp JPN,FW,Brighton,26,1997,16.5,509,650,78.3,6210,1486,357,413,86.4,110,153,71.9,9,24,37.5,4,2.7,3.6,+1.3,25,23,34,5,64
355,Aleksandar Mitrović,rs SRB,FW,Fulham,28,1994,0.4,4,8,50.0,78,24,1,3,33.3,2,4,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1
356,Jakub Moder,pl POL,"MF,DF",Brighton,24,1999,6.9,243,304,79.9,3263,908,150,165,90.9,75,94,79.8,5,14,35.7,0,0.8,0.8,-0.8,4,15,3,0,23
357,Gonzalo Montiel,ar ARG,DF,Nott'ham Forest,26,1997,8.9,292,386,75.6,4600,1986,155,172,90.1,112,154,72.7,16,38,42.1,2,1.4,0.9,+0.6,9,22,9,1,28
358,Kieffer Moore,wls WAL,"FW,MF",Bournemouth,30,1992,1.2,28,42,66.7,272,91,22,29,75.9,4,8,50.0,0,0,,0,0.2,0.3,-0.2,2,2,2,0,4
359,Mikey Moore,eng ENG,MF,Tottenham,15,2007,0.0,4,5,80.0,51,11,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
360,Álex Moreno,es ESP,DF,Aston Villa,30,1993,11.5,428,542,79.0,6466,1602,235,264,89.0,171,210,81.4,17,30,56.7,0,1.1,1.0,-1.1,11,10,13,2,24
361,Carlton Morris,eng ENG,"FW,MF",Luton Town,27,1995,31.8,484,751,64.4,6404,1199,310,415,74.7,132,209,63.2,18,34,52.9,4,2.8,1.6,+1.2,22,27,11,0,56
362,Mason Mount,eng ENG,"MF,FW",Manchester Utd,24,1999,5.7,179,219,81.7,2414,735,111,125,88.8,42,53,79.2,10,17,58.8,0,0.3,0.4,-0.3,6,17,6,2,21
363,Divin Mubama,eng ENG,FW,West Ham,18,2004,0.9,16,22,72.7,200,15,12,16,75.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
364,Mykhailo Mudryk,ua UKR,FW,Chelsea,22,2001,17.5,385,566,68.0,5618,1853,237,300,79.0,96,148,64.9,30,66,45.5,2,4.1,3.2,-2.1,32,24,22,4,45
365,Rodrigo Muniz,br BRA,FW,Fulham,22,2001,17.7,136,222,61.3,2018,532,74,113,65.5,39,64,60.9,12,16,75.0,1,2.0,0.9,-1.0,18,14,7,0,19
366,Daniel Muñoz,co COL,"DF,MF",Crystal Palace,27,1996,16.0,561,720,77.9,7556,2865,365,417,87.5,164,228,71.9,14,35,40.0,4,2.4,1.3,+1.6,21,25,4,0,38
367,Finley Munroe,eng ENG,MF,Aston Villa,18,2005,0.0,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
368,Arijanet Muric,xk KVX,GK,Burnley,24,1998,10.0,404,585,69.1,11273,8376,67,68,98.5,196,207,94.7,140,302,46.4,0,0.2,0.1,-0.2,4,16,1,0,1
369,Murillo,br BRA,DF,Nott'ham Forest,21,2002,31.0,1123,1460,76.9,22984,10571,387,440,88.0,572,657,87.1,154,326,47.2,2,1.2,0.6,+0.8,7,101,11,0,89
370,Alex Murphy,ie IRL,"DF,FW",Newcastle Utd,19,2004,0.1,17,17,100.0,275,81,10,10,100.0,5,5,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1
371,Jacob Murphy,eng ENG,"FW,DF",Newcastle Utd,28,1995,13.2,343,519,66.1,5229,2012,200,244,82.0,117,175,66.9,19,61,31.1,7,5.0,3.4,+2.0,31,32,30,8,52
372,Vitaliy Mykolenko,ua UKR,DF,Everton,24,1999,27.4,869,1166,74.5,13579,5739,488,549,88.9,275,368,74.7,81,169,47.9,0,0.9,1.1,-0.9,13,46,17,10,55
373,Marvelous Nakamba,zw ZIM,MF,Luton Town,29,1994,12.6,356,423,84.2,5622,1605,184,203,90.6,126,143,88.1,27,42,64.3,0,0.4,0.5,-0.4,7,27,2,1,36
374,Michael Ndiweni,eng ENG,FW,Newcastle Utd,19,2003,0.0,1,2,50.0,16,15,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
375,Reiss Nelson,eng ENG,FW,Arsenal,23,1999,3.0,127,144,88.2,1674,298,80,83,96.4,31,36,86.1,6,12,50.0,0,0.6,0.4,-0.6,5,1,6,2,5
376,Zack Nelson,eng ENG,"MF,DF",Luton Town,18,2004,0.1,4,4,100.0,41,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
377,Neto,br BRA,GK,Bournemouth,34,1989,32.0,692,1060,65.3,20318,15023,95,97,97.9,360,371,97.0,236,585,40.3,0,0.0,0.0,0.0,0,23,0,0,0
378,Pedro Neto,pt POR,"FW,MF",Wolves,23,2000,16.8,538,722,74.5,8269,1984,308,354,87.0,154,210,73.3,49,98,50.0,9,4.4,3.7,+4.6,38,23,29,12,54
379,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27,1996,16.2,617,774,79.7,11418,4223,237,252,94.0,309,380,81.3,66,123,53.7,0,0.1,0.3,-0.1,3,30,5,1,39
380,Eddie Nketiah,eng ENG,FW,Arsenal,24,1999,12.0,168,215,78.1,2332,267,98,118,83.1,60,72,83.3,3,4,75.0,2,0.8,0.7,+1.2,9,7,5,0,20
381,Christopher Nkunku,fr FRA,"FW,MF",Chelsea,25,1997,4.9,159,183,86.9,2048,567,101,109,92.7,39,43,90.7,4,10,40.0,0,0.2,0.5,-0.2,3,14,7,0,19
382,Rhys Norrington-Davies,wls WAL,DF,Sheffield Utd,24,1999,1.2,48,67,71.6,811,222,23,25,92.0,23,31,74.2,2,7,28.6,0,0.0,0.0,0.0,1,1,0,0,2
383,Oliver Norwood,nir NIR,MF,Sheffield Utd,32,1991,16.0,634,911,69.6,12291,4646,246,296,83.1,262,321,81.6,105,253,41.5,0,0.6,1.2,-0.6,17,67,11,2,73
384,Matheus Nunes,pt POR,MF,Wolves,24,1998,2.0,87,106,82.1,1077,279,59,68,86.8,23,26,88.5,2,6,33.3,0,0.1,0.2,-0.1,3,6,1,0,8
385,Matheus Nunes,pt POR,MF,Manchester City,24,1998,7.3,373,443,84.2,5054,783,233,255,91.4,115,133,86.5,11,23,47.8,2,1.1,1.5,+0.9,9,23,16,2,34
386,Darwin Núñez,uy URU,FW,Liverpool,24,1999,22.7,341,493,69.2,4780,1020,196,251,78.1,101,147,68.7,22,37,59.5,8,6.0,4.5,+2.0,33,23,26,0,54
387,Ethan Nwaneri,eng ENG,FW,Arsenal,16,2007,0.2,15,18,83.3,209,56,10,13,76.9,5,5,100.0,0,0,,0,0.0,0.0,0.0,1,1,2,0,2
388,Christian Nørgaard,dk DEN,MF,Brentford,29,1994,27.8,1199,1501,79.9,19114,6144,639,725,88.1,458,559,81.9,78,146,53.4,1,1.9,2.4,-0.9,24,113,26,4,161
389,Mark O'Mahony,ie IRL,FW,Brighton,18,2005,0.7,13,16,81.3,162,2,7,8,87.5,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
390,Dara O'Shea,ie IRL,DF,Burnley,24,1999,32.1,1393,1759,79.2,27584,10235,459,551,83.3,752,854,88.1,168,304,55.3,4,2.0,1.0,+2.0,13,139,6,3,122
391,Michael Obafemi,ie IRL,"FW,MF",Burnley,23,2000,0.2,4,5,80.0,55,2,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
392,Wilson Odobert,fr FRA,"MF,FW",Burnley,18,2004,23.3,446,584,76.4,6236,1559,285,330,86.4,134,173,77.5,16,31,51.6,2,3.3,3.6,-1.3,31,34,19,5,58
393,Odeluga Offiah,eng ENG,DF,Brighton,20,2002,1.4,63,80,78.8,851,196,39,41,95.1,21,24,87.5,2,7,28.6,0,0.0,0.0,0.0,0,1,1,0,4
394,Chiedozie Ogbene,ie IRL,"MF,DF",Luton Town,26,1997,22.2,589,790,74.6,8171,2314,365,409,89.2,175,234,74.8,22,57,38.6,1,3.1,3.5,-2.1,25,24,18,5,53
395,Angelo Ogbonna,it ITA,DF,West Ham,35,1988,7.1,171,214,79.9,3291,1109,60,67,89.6,94,104,90.4,14,38,36.8,0,0.0,0.1,0.0,0,6,0,0,4
396,Michael Olakigbe,eng ENG,"DF,FW",Brentford,19,2004,0.7,27,40,67.5,347,74,17,20,85.0,7,10,70.0,1,5,20.0,0,0.0,0.0,0.0,0,2,1,0,4
397,Michael Olise,fr FRA,"FW,MF",Crystal Palace,21,2001,14.2,540,721,74.9,8557,2634,300,339,88.5,154,195,79.0,55,116,47.4,6,5.8,5.0,+0.2,36,43,34,3,78
398,Robin Olsen,se SWE,GK,Aston Villa,33,1990,4.5,165,203,81.3,3545,2046,49,49,100.0,89,90,98.9,26,63,41.3,0,0.0,0.0,0.0,0,1,0,0,0
399,Andrew Omobamidele,ie IRL,DF,Nott'ham Forest,21,2002,8.7,271,310,87.4,5197,1449,78,91,85.7,174,189,92.1,16,25,64.0,0,0.1,0.0,-0.1,2,9,0,0,8
400,Amadou Onana,be BEL,MF,Everton,21,2001,23.2,871,1036,84.1,14568,4039,444,499,89.0,312,357,87.4,85,115,73.9,0,2.7,1.4,-2.7,18,102,14,1,107
401,André Onana,cm CMR,GK,Manchester Utd,27,1996,38.0,1105,1521,72.6,27115,18646,279,280,99.6,547,559,97.9,267,661,40.4,0,0.1,0.1,-0.1,3,35,3,0,5
402,Ryan One,sct SCO,FW,Sheffield Utd,17,2006,0.1,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
403,Tyler Onyango,eng ENG,MF,Everton,20,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
404,Fred Onyedinma,eng ENG,"DF,MF",Luton Town,26,1996,4.5,91,135,67.4,1431,352,45,58,77.6,42,61,68.9,2,7,28.6,0,0.1,0.1,-0.1,2,4,2,1,6
405,Frank Onyeka,ng NGA,MF,Brentford,25,1998,12.9,299,396,75.5,4662,1127,159,181,87.8,114,152,75.0,18,35,51.4,2,1.8,1.4,+0.2,12,23,11,5,33
406,Divock Origi,be BEL,FW,Nott'ham Forest,28,1995,6.7,92,144,63.9,1357,327,59,82,72.0,19,32,59.4,9,13,69.2,1,2.1,0.8,-1.1,7,7,5,1,14
407,Stefan Ortega,de GER,GK,Manchester City,30,1992,7.1,213,266,80.1,4942,3526,58,58,100.0,108,110,98.2,46,96,47.9,0,0.0,0.0,0.0,0,2,0,0,0
408,Ben Osborn,eng ENG,"DF,MF",Sheffield Utd,28,1994,15.2,448,608,73.7,7007,2650,253,281,90.0,145,194,74.7,35,90,38.9,2,0.9,0.9,+1.1,13,34,11,8,55
409,Gabriel Osho,ng NGA,DF,Luton Town,24,1998,20.5,580,706,82.2,10931,4019,195,222,87.8,342,384,89.1,41,87,47.1,0,0.1,0.2,-0.1,2,30,3,1,37
410,William Osula,dk DEN,FW,Sheffield Utd,19,2003,8.7,49,93,52.7,592,88,33,56,58.9,8,20,40.0,2,5,40.0,0,0.1,0.2,-0.1,1,3,2,1,2
411,Dango Ouattara,bf BFA,"FW,DF",Bournemouth,21,2002,13.7,371,558,66.5,5941,1943,190,255,74.5,147,201,73.1,25,57,43.9,2,1.5,1.4,+0.5,17,25,11,5,35
412,David Ozoh,eng ENG,"MF,DF",Crystal Palace,18,2005,1.7,48,51,94.1,695,112,21,22,95.5,25,25,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,4
413,João Palhinha,pt POR,MF,Fulham,28,1995,30.0,1098,1333,82.4,19131,5348,522,586,89.1,449,503,89.3,101,163,62.0,1,0.8,1.0,+0.2,13,96,7,1,97
414,Cole Palmer,eng ENG,"FW,MF",Chelsea,21,2002,29.0,1121,1415,79.2,18622,5642,574,636,90.3,407,479,85.0,101,186,54.3,11,11.1,8.7,-0.1,72,136,69,5,197
415,Cole Palmer,eng ENG,MF,Manchester City,21,2002,0.1,4,5,80.0,51,0,2,2,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
